PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,IMPORTER_CLEANED,YEAR,SHIPPER_CLEANED
PCS GREENHEART LUMBER AND SQUARES (INV # 351) PCS 25FT GREENHEART PILES (INV# 352) PCS GREENHEART LUMBER (INV# 354) PCS 30FT GREENHEART PILES (INV# 353),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,NAZIR TROPICAL TIMBERS,2019-03-19 00:00:00,181329,82422,Port Bustamante,"New York, New York",EMS TRADER,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"172 SECTION C BLOCK Y GROVE EAST BANK DEMERARA, GUYANA GUY",11792,4,CAIU8982858 SMLU7889258 SMLU7838630 SMLU7865071, ,441,PCS,0, ,SMLU5579921A, , ,66,368275 G2369341 368272 G2369340 368274 G2369334 368273 G2369337,PORTUGAL, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST FL 2 JERSEY CITY NJ 07302-3839 USA,GEORGETOWN,Evergreen Forest Products,2019,NAZIR TROPICAL TIMBERS
PCS 25FT GREENHEART PILES (INV# 216) CONTAINER CHECKED BY JAMAICAN CUSROMS HENCE SEAL CHANGES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,NAZIR TROPICAL TIMBERS,2017-12-26 00:00:00,42409,19277,Port Bustamante,"New York, New York",HERMANN HESSE,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"172 SECTION C BLOCK Y GROVE EAST BANK DEMERARA, GUYANA GUY",11792,1,SMLU7856125, ,50,PCS,0, ,SMLU5060015A, , ,57,427012 G1928016,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST FL 2 JERSEY CITY NJ 07302-3839 USA,GEORGETOWN,Evergreen Forest Products,2017,NAZIR TROPICAL TIMBERS
1 FLEXITANK 17.720 KG CRUDE ORGANIC HO SUNFLOWEROIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,CARE NATURKOST GMBH + CO,02/12/2013,39,18,Rotterdam,"Los Angeles, California",MOL EXPRESS,Netherlands,N/M,"10200 SW GREENBURG RD., SUITE 500 TIGARD OR 97223 MAIN P: 001.503.872.3566 1-5032311166 TEL EX 1-503238 26",AM MARKT 9 D 27419 SITTENSEN 49-428293240 TEL EX 49-42829 32,97223,1,MRKU8231864,2CB0,1,UNT,0,CM,MAEU865010494, , ,068W,SK2154286 TSK2154286,PANAMA, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",BRIDGEWELL RESOURCES LLC,"10200 SW GREENBURG RD., SUITE 500 TIGARD OR 97223 MAIN P: 001.503.872.3566 1-5032311166 TEL EX 1-503238 26",ROTTERDAM,Bridgewell Resources,2013,CARE NATURKOST GMBH + CO
"12 PACKAGES WITH 6.678 PIECES OF CLEAR KD TADA AND PARANA PINE FJ PRIMED MOULDINGS CONTRACT NR: PO-00670264 SHIPPED ON BOARD FREIGHT PREPAID HTS # 4409.10.40.10 HS CODE: 440910 INCOTERM: CFR NCM: 4418200099 NALADI: 441820 THE SOLID WOOD PACKAGING MATERIALS IN THIS SHIPMENT ARE TOTALLY FREE FROM BARK AND APPARENTLY FREE FROM LIVE PLANT PEST THE REGULATED WOOD PACKING MATERIAL HAS BEEN TREATED IN ACCORDANCE WITH THE USDA REQUIREMENTS ITEMS INDICATED AS FSC 100% ARE IN ACCORDANCE WITH THE FOLLOWING SPECIFICATIONS: PRODUCTS FSC - 1 ARE FROM FORESTS WITH FORESTRY MANAGMENT FSC-100% RA-COC-001878 ITEMS INDICATED AS FSC MIXED ARE IN ACCORDANCE WITH THE FOLLOWING SPECIFICATIONS: PRODUCTS FSC - 2 ARE FROM WELL MANAGED FORESTS AND OTHER CONTROLLED SOURCES FSC MIXED CREDIT RA-COC-001878 R. E. NO.: 13 0031640-001 TO 002 DDE: 2130026433 0 INVOICE: 1073 12 NET WEIGHT: 20.900,000 KGS CONTINUATION CONSIGNEE: E-MAIL: TSANDBERG@BRIDGEWELLRES.COM CONTINUATION NOTIFY: E-MAIL: MAC@RICHARD-MURRAY.COM ALSO NOTIFY: BRIDGEWELL RESOURCES LLC 10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX: (503) 238-2664 E-MAIL: TSANDBERG@BRIDGEWELLRES.COM SPA 073",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S A,02/14/2013,45980,20900, ,"Baltimore, Maryland",MIRAMARIN, ,ARAUPEL PO-00670264 BALTIMORE JAMBS PRIMED S4S FSC - 1 PACKAGES NBS 10 AND 13 TO 14 JAMBS PRIMED S4S FSC - 2 PACKAGES NBS 2 TO 3 AND 5 TO 9 AND 11 TO 14 { NCM -------------} TCKU9349191 1 44182000 {-NCM--------------},"10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 78 FAX: (503) 238-2664 TIGARD OR 97223 US","RUA GEN. CAMARA, 243 - 6O ANDAR 90010-230 - PORTO ALEGRE - RS - BR PHONE: 55 51 3221-7344 FAX: 55 51 8022 CNPJ: 87102810001028 PORTO ALEGRE RS 90010230 BR",97223,1,TCKU9349191,4500,12,PCS,0, ,CHIWPBGB16R00, , ,0302N,LT660488,MALTA, ,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO, , ,P O BOX 49 V,RICHARD MURRAY & SONS,"109 NORTH CONCEPTION ST. P.O. BOX MOBILE, AL, 36601, U.S.A. ATTN: MAC PHILLIPS PHONE: (251) 41 FAX: (251) 432-2810 MOBILE AL 36602 US",NAVEGANTES (SANTA,Bridgewell Resources,2013,ARAUPEL S/A
NET WEIGHT 23.040 KGS 24 PALLET WITH URUGUAYAN PINE K/D BLANKS S2S PCS 3499 MBF 20.644 CBM 48.730 ORDER NR. 00666280 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST,BRIDGEWELL RESOURCES, ,DANK S.A.,03/25/2013,51480,23400,Balboa,"Oakland, California",KAETHE C. RICKMERS,Panama,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,1,CLHU8166047,4510,24,BOX,48,X,MSCUUU100550, , ,307A,UYMVD0001240,MARSHALL ISLANDS, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",MONTEVIDEO,Bridgewell Resources,2013,DANK S.A.
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8030 BM/18.94C,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,2024-12-03 00:00:00,62436,28380,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55634/55637 / 55640/55644/POG/ WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE UNITED STATES",99 LALUNI STREET QUEENSTOWN GEORGETOWN TE GUYANA,11792,1,CMAU4716723,4500,54,PCS,0,CM,CMDUCUY0113259, , ,0UAIZ,C7696482 CETO176172,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY",Evergreen Forest Products,2024,VARIETY WOODS GREENHEART LTD
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",11/29/2015,167024,75920,Xiamen,"Long Beach, California",HONG KONG BRIDGE,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,CAIU2587542 CAIU2925418 TRHU2112225 FCIU4948046,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114805,H,HJSCSGN532203600,0035E,HE554828 HE554862 HE554868 HE554834,SINGAPORE, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH,Bridgewell Resources,2015,"LUONG QUOI COCONUT CO., LTD"
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 15.20 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN NEW STEEL DRUMS AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 15.20 MT THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",04/23/2015,35904,16320,Kaohsiung,"Los Angeles, California",EVER SMILE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 064 150311 008 MFG. DATE 11/MARCH/2015 NET WEIGTH 190 KG. INGREDIENTS ORGANIC COCONUT OIL STORAGE CONDITIONSCOOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0360356,22G1,80,DRM,25,X,EGLV061500006158, , ,0765E,EMCEHM9993,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU,Bridgewell Resources,2015,"SC GLOBAL COCO PRODUCTS, INC."
ROUGH SAWN GREENHEART LUMBER 12 X 12 - 16- TO 18- FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNTSAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,TOOLSIE PERSAUD LIMITED,2012-01-30 00:00:00,50210,22823,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM MEDITERRANEAN,Jamaica,NO MARKS NO NUMBERS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 U.S.A,1-4 -10-12 LOMBARD STREET GEORGETO WN GUYANA,11792,1,ZCSU8331216,4500,38,PCS,19,CF,ZIMUGTG04525, , ,40W,ZZC163682/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Evergreen Forest Products,2012,TOOLSIE PERSAUD LTD
POPLAR CORE PLYWOODPOPLAR CORE PLYWOODPLYWOODPOPLAR COREBIRCH FACE AND BACK,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"JIAXING GSUN IMP. & EXP. CO.,LTD.",07/12/2012,114400,52000,Colon,"Baltimore, Maryland",SANTA PELAGIA,Panama,648813 648813 648813 648814 THE SAME,10200 SW GREENBURG RD SUITE 500 TIGARD OREGON 97223 U.S.A. TEL:503.872.3566,ROOM 507 OFFICE BUILDING NO.534 HONGXING ROAD JIAXING ZHEJIANG CHINA TEL:+86-573-83639876,97223,2,BMOU4769485 LTIU8016105,45G0 45G1,36,CRT,104,CM,EGLV140200390941, , ,0631E,EMCDCB1731 EMCDCB0571,GERMANY,00 - Consumption Category,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES LLCRICHARD MURRAY, ,"QINGDAO, CHINA",Bridgewell Resources,2012,"JIAXING LAYO IMP.&EXP.GROUP CO.,LTD"
