PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
FREIGHT COLLECT TAPER-SAWN WALLABA SHINGLES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,PRESTIGE TIMBERS INC,07/01/2024,56320,25600,Port Bustamante,"New York, New York",CMA CGM SURABAYA,Jamaica,NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA TE GUYANA, ,1,TEMU0329558,2200,450,BDL,0,CM,CMDUCUY0112530, , ,0UAHR,C7968108,MALTA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
SHINGLES AND RIDGE CAPS BREAKDOWN 45 BUNDLES TAPER SAWN WALLABA SHINGLES / 9 SQUARES 573 BUNDLES TAPER SAWN WALLABA SHINGLES / 59 SQUARES 31 BUNDLES TAPER SAWN WALLABA RIDGE CAPS,CUSTOM SHINGLES,CUSTOM SHINGLES,PRESTIGE TIMBERS INC.,06/26/2024,51845,23566,Point Lisas,"West Palm Beach, Florida",TROPIC JEWEL,Trinidad,DRYU2139615,186 SW RING COURT LAKE CITY FL 32025 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,32025,1,DRYU2139615,22G1,649,PCS,0, ,TSCW17096828, , ,132,SEAL INTACT,SAINT VINCENT AND THE GRENADINES, ,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
SHINGLES & HIP AND RIDGE TAPER SAWN WALLABA SHINGLES 60 BUNDLES / 750LF 480 BUNDLES / 96 SQUARES,DEDICATED ROOFING,DEDICATED ROOFING,PRESTIGE TIMBERS INC.,04/10/2024,51502,23410,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,BSIU2978012,#34 OXFORD DR. SOUTH BEACH EST NASSAU BS,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY, ,1,BSIU2978012,22G1,540,PCS,0, ,TSCW16932307, , ,0138A,SEAL INTACT,SAINT VINCENT AND THE GRENADINES,63 - Immediate Exportation,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
"TAPER-SAWN SHINGLES WALLABA ( EPERUA FALCATA) GR11-PRIME, L ENGTH 18 - WIDTH 3 - 10 TH ICKNESS 7/16 - EXPOSURE 6","BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,04/01/2024,51588,23449,Puerto Manzanillo,"Philadelphia, Pennsylvania",POLAR BRASIL,Panama,N/M,"1001, S MYRTLE AVE STE 1 CLEARWATER, FL 33756 UNITED STATES 17275813593","LOT 32, WINDSOR ESTATES PETER'S HAL GEORGETOWN GUYANA 5926668440",33756,1,HASU1042898,2CB0,540,BDL,0,CM,MAEU236451965, , ,412N,474567,MALTA, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.","BASILICATO NORTH AMERICA, LLC","1001, S MYRTLE AVE STE 1 CLEARWATER, FL 33756 UNITED STATES",GEORGETOWN
"540 BUNDLES TAPER-SAWN WALLAB A SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18 - WIDTH 3 - 10 THICKNESS 7/16 EXP OSURE 6","BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,03/04/2024,51588,23449,Puerto Manzanillo,"Philadelphia, Pennsylvania",POLAR MEXICO,Panama,N/M,"1001, S MYRTLE AVE CLEARWATER 33756-3968 17275813593","LOT 32, WINDSOR ESTATES PETER'S HAL GEORGETOWN GUYANA 5926668440",33756-3968,1,MRKU9316396,2CB0,1,BDL,0,CM,MAEU235922174, , ,408N,474516,SINGAPORE, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.","BASILICATO NORTH AMERICA, LLC","1001, S MYRTLE AVE CLEARWATER 33756-3968",GEORGETOWN
"540 BUNDLES TAPER SAWN WALLAB A SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18''- WIDTH 3''-10'' THICKNESS 7/16''-EX POSURE 6''","BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,02/12/2024,51588,23449,Puerto Manzanillo,"Port Everglades, Florida",SEASPAN HANNOVER,Panama,N/M,1001 S MYRTLE AVE SUITE 1 CLEARWATER FL 33756 USA 17275813593,LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA GUYANA. 5926668440,33756,1,HASU1231340,2CB0,1,BDL,23,CM,MAEU234526667, , ,405N,GY0009785,HONG KONG, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.","BASILICATO NORTH AMERICA, LLC",1001 S MYRTLE AVE SUITE 1 CLEARWATER FL 33756 USA,GEORGETOWN
"540 BUNDLES TAPER SAWN WALLA BA SHINGLES (EPERUA FALCATA) GR11- PRIME, LENGTH 18''- WID TH 3''-10'' THICKNESS 7/16''- EXPOSURE 6''","BASILICATO NORTH AMERICA,",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,12/18/2023,51588,23449,Puerto Manzanillo,"Port Everglades, Florida",MAERSK KENTUCKY,Panama,N/M,"LLC 1001 S. MYRTLE AVE. SUITE 1 CLEARWATER, FL 33756 17275813593",LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA 5926668440,33756,1,MSKU7226443,2CB0,1,BDL,23,CM,MAEU233045988, , ,350N,GY0009393,SINGAPORE, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.","BASILICATO NORTH AMERICA,","LLC 1001 S. MYRTLE AVE. SUITE 1 CLEARWATER, FL 33756",GEORGETOWN
"FREIGHT COLLECT 540 BUNDLES TAPER SAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18''- WIDTH 3''-10'' THICKNESS 7/16''-EXPOSURE 6''",VIVRE EN BOIS - ST MARTIN,VIVRE EN BOIS - ST MARTIN,PRESTIGE TIMBERS INC,12/02/2023,56320,25600,Port Bustamante,"San Juan, Puerto Rico",CMA CGM ARICA,Jamaica,NO MARKS,"78 ROUTE DE LOW TOWN BELLEVUE 97150 ST. MARTIN, F.W.I",LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA TE GUYANA,97150,1,TGHU1290262,2200,1,BDL,0,CM,CMDUCUY0111631, , ,0BR8W,K5233889,MALTA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,"BASILICATO NORTH AMERICA, LLC","1001 S MYRTLE AVE SUITE 1 CLEARWATER, FL 33756 USA","GEORGETOWN, GY"
"FREIGHT COLLECT 540 BUNDLES TAPER SAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18''-WIDTH 3''-10'' THICKNESS 7/16''-EXPOSURE 6''",DISTRIBOIS SARL,DISTRIBOIS SARL,PRESTIGE TIMBERS INC,11/07/2023,56298,25590,Demerara,"Savannah, Georgia",ELBTRAVELLER,Guyana,NO MARKS,ZONE BOIS QUARRE LE LAMENTIN - TE MARTINIQUE,LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA TE GUYANA, ,1,CMAU0539403,2200,1,BDL,0,CM,CMDUCUY0111516, , ,0CACF,H7340768,ANTIGUA AND BARBUDA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,"BASILICATO NORTH AMERICA, LLC","1001 S MYRTLE AVE SUITE 1 CLEARWATER, FL 33756 USA","GEORGETOWN, GY"
"540 BUNDLES TAPER SAWN WALLAB A SHINGLES (EPERUA FALCATA) GR11- PRIME, LENGTH 18''- WIDT H 3''-10'' THICKNESS 7/16''- EXPOSURE 6''","BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,10/16/2023,51588,23449,Puerto Manzanillo,"Port Everglades, Florida",MAERSK KENTUCKY,Panama,N/M,"1001 S . MYRTLE AVE SUITE 1 CLEARWATER, FL 33756 USA 17275813593","LOT 32 WINDSOR ESTATES, PETER'S HAL EAST BANK DEMERARA GUYANA 5926668440",33756,1,MRKU6690437,2CB0,1,BDL,23,CM,SEAU231045822, , ,341N,GY0009107,SINGAPORE, ,SEAU,A P MOLLER,LONDON, ,E1 8 EP,GLOBAL EQUIPMENT MANAGEMENT,"BASILICATO NORTH AMERICA, LLC","1001 S . MYRTLE AVE SUITE 1 CLEARWATER, FL 33756 USA",GEORGETOWN
"80 SQUARES/ 400 BUNDLES TAPERSAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18- WIDTH 3-10 THICKNESS 7/16-EXPOSURE 6 FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH",DMG HARDWOODS,DMG HARDWOODS,PRESTIGE TIMBERS INC,10/06/2023,46098,20954,Port Bustamante,"New York/Newark Area, Newark, New Jersey",CONTSHIP ART,Jamaica,NO MARKS NO NUMBERS,"16 WHITE BIRCH LANE YORK, MAINE 03909 USA","LOT 32 WINDSOR ESTATES, PETER HALL EAST BANK DEMERARA GUYANA",3909,1,TLNU2151695,2200,400,BDL,622,CF,ZIMUGTG0018310, , ,167N,CETO043743 A4221601971,CYPRUS,61 - Immediate Transportation,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,DMG HARDWOODS,"16 WHITE BIRCH LANE YORK, MAINE 03909 USA",GEORGETOWN - GUYA
"TAPER SAWN WALLABA SHINGLES BREKADOWN 480 BUNDLES OF TAPER SAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18''- WIDTH 3''-10'' THICKNESS 7/16''- EXPOSURE 6'' 60 BUNDLES OF WALLABA (EPERUA FALCATA) HIP &, RIDGE GR11- PRIME, LENGTH 18 - WIDTH 4 & 4- 1/2 THICKNESS 1/2 - EXPOSURE 6",DEDICATED ROOFING,DEDICATED ROOFING,PRESTIGE TIMBERS INC.,08/30/2023,51480,23400,Point Lisas,"West Palm Beach, Florida",TROPIC JEWEL,Trinidad,BSIU3142480,#34 OXFORD DR. SOUTH BEACH EST NASSAU BS,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY, ,1,BSIU3142480,22G1,540,PCS,0, ,TSCW16449426, , ,111,1152228 CETO 043295,SAINT VINCENT AND THE GRENADINES,63 - Immediate Exportation,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
75PCS GREENHEART (CHLOROCARDI UM RODIEI) ROUGH SAWN LUMBER GR04- SEL SIZE: 6X10X16' 6X12X16' 6592BF,"BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,07/03/2023,34447,15658,Puerto Manzanillo,"Philadelphia, Pennsylvania",POLAR MEXICO,Panama,N/M,"1001 S MYRTLE AVE SUITE 1 CLEARWATER, FL 33756 17275813593",LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA GUYANA. 5926668440,33756,1,SUDU7617170,2CB0,16,PCS,0,CM,SEAU227598626, , ,325N,GY0008596,SINGAPORE, ,SEAU,A P MOLLER,LONDON, ,E1 8 EP,GLOBAL EQUIPMENT MANAGEMENT,"BASILICATO NORTH AMERICA, LLC","1001 S MYRTLE AVE SUITE 1 CLEARWATER, FL 33756",GEORGETOWN
"56PCS GREENHEART (CHLOROCARDI UM RODIEI) ROUGH SAWN LUMBER GR04- SEL SIZE: 8X10X16' 4X8X12' 4X12X16' 2X10 X16' 64PCS GREENHEART (CHLOR OCARDIUM RODIEI) DRESSED-S4S, GR06- PRIME SIZE: 2-1/2X9-1 /4X22' 6740BF","BASILICATO NORTH AMERICA, LLC",BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC,07/03/2023,35221,16010,Puerto Manzanillo,"Philadelphia, Pennsylvania",POLAR MEXICO,Panama,N/M,"1001 S MYRTLE AVE SUITE 1 CLEARWATER, FL 33756 17275813593",LOT 32 WINDSOR ESTATES PETER'S HALL EAST BANK DEMERARA GUYANA 5926668440,33756,1,MRSU5246760,4EB0,16,PCS,0,CM,SEAU227599299, , ,325N,GY0008619,SINGAPORE, ,SEAU,A P MOLLER,LONDON, ,E1 8 EP,GLOBAL EQUIPMENT MANAGEMENT,"BASILICATO NORTH AMERICA, LLC","1001 S MYRTLE AVE SUITE 1 CLEARWATER, FL 33756",GEORGETOWN
DRESSED GREENHEART LUMBER (CHLOROCARDIUM RODIEI) S4S GRO4 - SEL 1 1/2 X 7 1/2 X 10' 2 1/2 X 9 1/4 X 10' 2 1/2 X 9 1/4 X 22' 5 1/2 X 5 1/2 X 16' DRESSED GREENHEART LUMBER (CHLOROCARDIUM RODIEI) S4S GRO4 - SEL 2 1/2 X 9 1/4 X 24' 2 1/2 X 9 1/4 X 22' 1 1/2 X 9 1/4 X 10',BASILICATO CORPORATION,BASILICATO NORTH AMERICA LLC,PRESTIGE TIMBERS INC.,06/28/2023,69903,31774,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,TTRU4850026 BSIU9888646,1001 S MYRTLE AVE SUITE 1 CLEARWATER FL 33756 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,33756,2,TTRU4850026 BSIU9888646,45G1 45G1,442,PCS,0, ,TSCW16326373, , ,115,1123048 1123049 1123018 1123019,SAINT VINCENT AND THE GRENADINES, ,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
"WALLABA SHINGLES AND HIP & RIDGE BREAKDOWN 480 BUNDLE(S) TAPER SAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME LENGTH 18- WIDTH 3 -10 THICKNESS 7/16 - EXPOSURE, 6 60 BUNDLE(S) WALLABA (EPERUA FALCATA) HIP & RIDGE GR11- PRIME, LENGTH 18 - WIDTH 4 & 4-1/2 THICKNESS 1/2 - EXPOSURE 6",DEDICATED ROOFING,DEDICATED ROOFING,PRESTIGE TIMBERS INC.,06/28/2023,51480,23400,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,BSIU3272524,#34 OXFORD DR. SOUTH BEACH EST NASSAU BS,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY, ,1,BSIU3272524,22G1,540,PCS,0, ,TSCW16326480, , ,115,1123046 1123047,SAINT VINCENT AND THE GRENADINES,63 - Immediate Exportation,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
"TAPER SAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18 - WIDTH 3 - 10 THICKNESS 7/16' - EXPOSURE 6 TAPER SAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18 - WIDTH 3 - 10 THICKNESS 7/16' - EXPOSURE 6 / TAPER SAWN WALLABA SHINGLES (EPERUA FALCATA) GR11-PRIME, LENGTH 18 - WIDTH 3 - 10 THICKNESS 7/16' - EXPOSURE 6",EURO CONSTRUCTION SERVICES,EUROPE CONSTRUCTION,PRESTIGE TIMBERS INC.,04/05/2023,73124,33238,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,TTRU2652680 BSIU3193596 BSIU3193596,1315 N SWINGTON AVE DELRAY BEACH FL 33444 US,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY,33444,2,TTRU2652680 BSIU3193596,22G1 22G1,900,PCS,0, ,TSCW15948263, , ,109,1121705 1121706 1121707 1121708,SAINT VINCENT AND THE GRENADINES,63 - Immediate Exportation,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
TAPER SAWN WALLABA SHINGLES EPERUAFALCATA) GR11 - PRIME LENGTH 24 - WIDTH 3 - 10 THINCKNESS 3/4 EXPOSURE 10,BAH BUILDERS & DEVELOPMENT CO. LTD,BAH BUILDERS & DEVELOPMENT CO LTD,PRESTIGE TIMBERS INC.,04/05/2023,30996,14089,Point Lisas,"West Palm Beach, Florida",TROPIC ISLAND,Trinidad,BSIU3273393,32 AIRPORT INDUSTRIAL PARK NASSAU BS,32 WINDSOR ESTATE PETER'S HALL EAST BANK DEMERARA GY, ,1,BSIU3273393,22G1,310,PCS,0, ,TSCW16114736, , ,109,1122813 1122814,SAINT VINCENT AND THE GRENADINES,63 - Immediate Exportation,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,31200
