PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
UREA 46%N PRILLED UREA 46%N PRILLED UREA 46%N PRILLED UREA 46%N PRILLED,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED",12/18/2015,344916,156780,Ching Tao,"Tacoma, Washington",OOCL ROTTERDAM,China,NO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKS,"12420 SE CARPENTERDRIVE CLACKAMAS,OR 97015 USA","2 MINJIANG ROAD B-2403, QINGDAO 266071,P.R.CHINA",97015,6,CLHU4686518 APZU4686794 APZU4502027 TCLU4086660 APZU4823686APZU4709396,42G0 42G0 42G0 42G0 42G042G0,156,PKG,156,X,PPILQD056863,H,APLU065948434,84,AN50323678 AN50323675 AN50368369 AN50323676 AN50368259 AN50323677,HONG KONG, ,PPIL, , , , , ,-NOT AVAILABLE-, ,"QINGDAO, CHINA"
156 PACKAGES UREA 46- PRILLED PO-00755451 H.S.CODE-3102.10.0030 FREIGHT COLLECT 156 PACKAGES UREA 46- PRILLED PO-00755451 H.S.CODE-3102.10.0030 FREIGHT COLLECT 156 PACKAGES UREA 46- PRILLED PO-00755451 H.S.CODE-3102.10.0030 FREIGHT COLLECT 156 PACKAGES UREA 46- PRILLED PO-00755451 H.S.CODE-3102.10.0030 FREIGHT COLLECT,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHANDONG LIANMENG INTERNATIONAL,12/18/2015,344058,156390,Ching Tao,"Tacoma, Washington",OOCL ROTTERDAM,China,MARKS AND NUMBERS WITH CONTAINER APZU429387MARKS AND NUMBERS WITH CONTAINER APZU429387N-MMARKS AND NUMBERS WITH CONTAINER APZU429387MARKS AND NUMBERS WITH CONTAINER APZU429387MARKS AND NUMBERS WITH CONTAINER APZU429387,"FOOD AG PRODUCTS DIVISION 12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA","TRADE CO.,LTD. NO.26 XIANGGANG ZHONG ROAD,QINGDAO, 266071 CHINA",12420,6,APZU4654288 APZU4388871 APZU4293879 APZU4328785 APZU4533964APZU4482949,42G0 42G0 42G0 42G0 42G042G0,156,PKG,216,CM,APLU660075161, , ,84,AN40546061 AN40546118 AN40546120 AN40546062 AN40546119 AN40546117,HONG KONG, ,APLU,APL CO PTE LTD-NOL GROUP, , , ,456 ALEXANDRIA RD NOL BLDG #06-00,TOTAL LOGISTICS RESOURCES,"11855 NE GLENN WIDING DRIVE, PORTLAND OR 97220 USA, ATTN MARGARET MOWERY,","QINGDAO, PC"
"COCONUT OIL IN DRUMS/IBC 1 X 20' DRY CONTAINER VAN CONTAINING ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN CORRUGATED IBC WITH HEATING ELEMENT (110V) PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 18.30 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",12/17/2015,42372,19260,Kaohsiung,"Los Angeles, California",EVER STRONG,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 072 150906 008 MFG.DATE 06/SEPTEMBER/2015 NET WEIGHT 915 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY, CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0197906,22G1,20,PKG,25,X,EGLV061500035000, , ,0799E,EMCBAD2384,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD &,"AG PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",12/14/2015,167024,75920,Xiamen,"Long Beach, California",CHICAGO BRIDGE,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,TRLU9363262 TEMU2291960 GESU1435738 TEMU4156846,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114823,H,HJSCSGN533585600,0113E,HE546803 HE546944 HE546974 HE546964,PANAMA, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
UREA 46%N PRILLED UREA 46%N PRILLED UREA 46%N PRILLED UREA 46%N PRILLED,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED",12/11/2015,344916,156780,Ching Tao,"Oakland, California",APL BELGIUM,China,NO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKS,"12420 SE CARPENTERDRIVE CLACKAMAS,OR 97015 USA","2 MINJIANG ROAD B-2403,QINGDAO 266071,P.R.CHINA",97015,6,APZU4796657 APZU4328168 APZU4910815 APZU4647993 APZU4586521APZU4702848,42G0 42G0 42G0 42G0 42G042G0,156,PKG,156,X,PPILQD056862,H,APLU065948433,214,AN50323680 AN50323679 AN50323671 AN50368258 AN50368272 AN50368260,SINGAPORE, ,PPIL, , , , , ,-NOT AVAILABLE-, ,"QINGDAO, CHINA"
"UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288 UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288 UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288 UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288 UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288 UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288UREA 46%N PRILLED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS N/A:SINO STARCO CHEMICAL CO.,LIMITED. +FAX:+86-53 2-86677288",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SINO STARCO CHEMICAL CO LIMITED,12/11/2015,691272,314215,Port Bustamante,"Houston, Texas",CAPE MARTIN,Jamaica,N/MN/MN/MN/MN/MN/MN/MN/MN/MN/MN/MN/M,"12420 SE CARPENTER DRIVE,CLACKAMAS, OR 97015 USA FAX:503 742 1198","2 MINJIANG ROAD,B-2403,QINGDAO 2660 71 P.R.CHINA",97015,12,ZCSU2755156 ZCSU2746149 TCKU4700955 DFSU4255209 ZCSU2641030ZCSU2654335 ZCSU2787256 ZCSU2738098 ZCSU2711029 ZCSU2775050ZCSU2798040 TTNU5691325,4200 4200 4200 4200 42004200 4200 4200 4200 42004200 4200,312,PKG,3,CF,ZIMUQIN901002482,H,ZIMUQIN1002482,14S,ZGLC875277 ZGLC875279 ZGLC875273 ZGLC875278 ZGLC875268 ZGLC875275 ZGLC875267 ZGLC875276 ZGLC875265 ZGLC875274 ZGLC875266 ZGLC875269,CYPRUS, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC,"12420 SE CARPENTER DRIVE,CLACKAMAS, OR 97015 USA FAX:503 742 1198",QINGDAO
RBD COCONUT OIL RBD COCONUT OIL RBD COCONUT OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,PT. SARI MAS PERMAI,12/10/2015,142626,64830,Singapore,"Los Angeles, California",NYK APOLLO,Singapore,NO MARKSNO MARKSNO MARKS,". 12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015",". JL. WARU GUNUNG 23, SURABAYA JAWA TIMUR, INDONESIA 60221",97015,3,HJCU2954680 HJCU2277743 TEMU2737522,2CG0 2CG0 2CG0,3,PKG,0, ,HJSCSUB505842100, , ,0080E,HE514047 HE514050 HE514049,PANAMA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,TLR - TOTAL LOGISTICS RESOURCE,". 11855 NE GLENN WIDING DRIVE PORTLAND, OR 97220","SURABAYA, JAVA"
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",12/05/2015,167024,75920,Xiamen,"Long Beach, California",HAMMERSMITH BRIDGE,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,TCKU2361385 DFSU1255289 HJCU8261791 HJCU2093140,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114809,H,HJSCSGN532874600,1034E,HE383192 HE383013 HE387230 HE383026,PANAMA, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
RBD COCONUT OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,PT. SARI MAS PERMAI,12/04/2015,47542,21610,Singapore,"Los Angeles, California",HANJIN XIAMEN,Singapore,NO MARKS,". 12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015",". JL. WARU GUNUNG 23, SURABAYA JAWA TIMUR, INDONESIA 60221",97015,1,FCIU5168609,2CG0,1,PKG,0, ,HJSCSUB505733700, , ,0052E,HE511148,PANAMA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,TLR - TOTAL LOGISTICS RESOURCE,". 11855 NE GLENN WIDING DRIVE PORTLAND, OR 97220","SURABAYA, JAVA"
COCONUT OIL 40 PIECES 34.000MT RBD COCONUT OIL PACKING IN IBC PAPER TOTES 40 X 850 KG TOTES SCIENTIFIC NAME COCOS NUCIFERA COCONUT OIL,BRIDGEWELL RESOURCES, ,SAN PABLO MANUFACTURING CORP.,12/03/2015,79699,36227,Kaohsiung,"Los Angeles, California",EVER SAFETY,China Taiwan,AS ADDRESSED AS ADDRESSED THE SAME THE SAME THE SAME THE SAMEAS ADDRESSED,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015","16TH FLR. UCPB BLDG., MAKATI AVENUE MAKATI CITY, PHIIPPINES",97015,2,EISU2065823 DRYU2245941,22G1 22G0,40,PCS,46,X,EGLV060500092978, , ,0797E,EMCGCA1514 EMCGCA1604,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,TLR - TOTAL LOGISTICS LLC,"11855 NE GLENN WIDING DRIVE PORTLAND, OR 97015 TEL NO.:+1 503-257 6090 EXT.: 343 E-MAIL : MARGARETM@SHIPTLR.COM",MANILA (NORTH POR
