PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,YEAR,IMPORTER_CLEANED,IMPORTER_COUNTRY
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS (SLEEVE, TRAY) SAID TO BE: 'THIS SHIPMENT-BOTH PRODUCT AND PACKINGMATERIAL DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL OF ANY KIND.'","D MARSHALL, INC", ,EMERALD FOREST INC.,2013-10-09 00:00:00,3538,1608,Chi Lung,"Los Angeles, California",YM MOVEMENT,China Taiwan,DM LOS ANGELES C/NO.1-100 MADE IN TAIWAN R.O. C.,"269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275","F1.,NO.18, LANE 1, BAOKANG ROAD., FENGYUAN DIST., TAICHUNG CITY 42051, TAIWAN (R.O.C.)",90212,1,TGHU6496256,4FG0,100,CTN,11,CM,PSLAW3092064LAX,H,HJSCTPE335657400,0002E,HJ323473,PANAMA, ,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,"D MARSHALL, INC","269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275","TAICHUNG,TAIWAN",Emerald Forest Inc.,2013,"D MARSHALL, INC",United States
(129 PIECES ROUGH SAWN PURPLEHEART TIMBE RS 3' X 8' X 16- - 9.73CBM) (99 PIECES RO UGH SAWN PURPLEHEART TIMBERS 3' X 12' X 1 6- - 11.2CBM) FREIGHT COLLECT ALL LOCAL C HARGES AT DESTINATION FOR CONSIGNEE-S ACC OUNT SAID TO BE SAID TO WEIGH,TIMBER HOLDINGS USA,TIMBER HOLDINGS USA INTL,EMERALD FOREST INC,2013-07-14 00:00:00,22530,10241,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TEXAS,Jamaica,NO MARKS NO NUMBERS,ATTN:GREGG MATTHEWS 2960 NORTH 112T H STREET WAUWATOSA WI 53222 USA TEL :603-206-3835 FAX:414 445 9155,"BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2993/592 228 2994, 644 9547 FAX:",53222,1,ZCSU8403635,4500,228,PCS,21,CF,ZIMUGTG06351, , ,20E,CTA242957 ZZZC917310,MARSHALL ISLANDS, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,LUSITANO GROUPE S.A,"ATTN:LUIS URRUTIA VALLE DEL SOL#222 SANTA ANA, COSTA RICA PHONE#506-88 81-1875",GEORGETOWN,Emerald Forest Inc.,2013,TIMBER HOLDINGS USA,United States
(592 PIECES 1.25' X 6' X 7 - 18- BULLETW OOD - 12.45CBM) (26 PIECES 2' X 6' X 7 - 12- BULLETWOOD - 0.57CBM) (31 PIECES 2' X 8' X 7 - 13- BULLETWOOD - 0.93CBM) (45 P IECES 2' X 10' X 7 - 12- BULLETWOOD - 1.7 0CBM) (48 PIECES 2' X 10' X 10 - 19- TAUR INIRO - 2.24CBM) (33 PIECES 2' X 12' X 8 -20- TAURINIRO - 1.98CBM) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CON SIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,HOOTMAN & COMPANY, ,EMERALD FOREST INC,2013-07-11 00:00:00,23900,10864,Port Bustamante,"Houston, Texas",ZIM MOSKVA,Jamaica,NO MARKS NO NUMBERS,1200W MAIN STREET LA PORTE TX 77571 USA TEL:281 471 3907 FAX:281 471 2 795,BLOCK 3026 HAND EN VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2993 /228 2994 644 9547 FAX:592,77571,1,ZCSU8689004,4500,775,PCS,20,CF,ZIMUGTG06094, , ,20E,CTA238404 ZZZC912339,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,B & D CUSTOMHOUSE BROKERS INC,"340N SAM HOUSTON PKWAY E #216 HOUST ON, TX 77060 U.S.A TEL:281-999-3400 FAX:281-999-7300 FMC 2416",GEORGETOWN,Emerald Forest Inc.,2013,HOOTMAN & COMPANY,United States
GREENHEART LUMBER 1 X 40- CONTAINER CONTAINING 28 PCS 12' X 12' X 22- ROUGH SAWN GREENHEART PO#BK1005,INDUSTRIAL SUPPLIES DEVELOPMENT, ,EMERALD FOREST INC.,2012-12-05 00:00:00,55990,25450,Colon,"Oakland, California",EVER RACER,Panama,SEAL NOS EMCLSZ5608 & SEAL NOS EMCLSZ5608 & CTA211009 THE SAME THE SAME,CO. LTD P.O. BOX 31781 AL KHOBAR 39152 SAUDI ARABIA,BLOCK 3026 HAND-EN-VELDT MAHAICA EAST COAST DEMERARA CONTACT: MS. LEELAWATIE ATWAROO/,31781,1,EISU1760585,42G1,28,PCS,17,X,EGLV765200000615, , ,0559W,CTA211009 EMCLSZ5608,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES LLC,"10200 SW GREENBURG ROAD SUITE 500 TIGARD OR 97223 USA 503-872-3566, 800-570-3566",GEORGETOWN,Emerald Forest Inc.,2012,INDUSTRIAL SUPPLIES DEVELOPMENT,Saudi Arabia
(206 PIECES GREENHEART 3' X 8' X 9 - 20F T - 11.03CBM) (12 PIECES GREENHEART 4' X 12' X 12 - 20FT - 1.65CBM) (18 PIECES GRE ENHEART 6 ' X 12' X 11FT- 2.81CBM) (14 PI ECES GREENHEART 12' X 12' X 6 - 20FT - 3. 85CBM) (19 PIECES MORA 6 ' X 6' X 16 - 20 FT- 2.55CBM) FREIGHT COLLECT ALL LOCAL CH ARGES AT DESTINATION FOR CONSIGNEE-S ACCO UNT SAID TO BE SAID TO WEIGH,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC,2012-11-11 00:00:00,27560,12527,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM MEDITERRANEAN,Jamaica,NO MARKS NO NUMBERS,10200 SW GREENBURG ROAD SUITE 500 T IGARD OR 97223 USA TEL:503-872-35 66 FAX:800-570-3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2844 /592 228 2993,97223,1,ZCSU8668932,4500,269,PCS,22,CF,ZIMUGTG05497, , ,44W,CTA209070 ZZC19275K,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC,10200 SW GREENBURG ROAD SUITE 500 T IGARD OR 97223 USA TEL:503-872-35 66 FAX:800-570-3566,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
GREENHEART (6' X 12' X 11-) FREIGHT COLL ECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WE IGH,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC,2012-11-10 00:00:00,23600,10727,Port Bustamante,"New York, New York",HYUNDAI SUPREME,Jamaica,NO MARKS NO NUMBERS,10200 SW GREENBURG ROAD SUITE 500 T IGARD OR 97223 USA TEL:503-872-35 66 FAX:800-570-3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2844 /592 228 2993,97223,1,ZCSU8930045,4500,120,PCS,19,CF,ZIMUGTG05521, , ,20W,CTA210349 ZZC19374K,PANAMA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC,10200 SW GREENBURG ROAD SUITE 500 T IGARD OR 97223 USA TEL:503-872-35 66 FAX:800-570-3566,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
(82 PIECES GREENHEART 6' X 12' X 11 - 14FT - 12.93CBM) (22 PIECES GREENHEART 10'X 12' X 11 - 14FT - 5.92CBM) (16 PEICES MORA 6 ' X 6' X 20FT- 2.26CBM) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FORCONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC,2012-10-14 00:00:00,26410,12005,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PUSAN,Jamaica,NO MARKS NO NUMBERS,10200 SW GREENBURG ROAD SUITE 500 T IGARD OR 97223 USA TEL:503-872-35 66 FAX:800-570-3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2844 /592 228 2993,97223,1,ZCSU8305243,4500,120,PCS,21,CF,ZIMUGTG05425, , ,34W,ZZC11077K CTA204286,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
GREENHEART (8' X 12' X20-) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC,2012-09-11 00:00:00,25840,11745,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM HAIFA,Jamaica,NO MARKS NO NUMBERS,10200 SW GREENBURG ROAD SUITE 500 T IGARD OR 97223 USA TEL:503-872-35 66 FAX:800-570-3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2844 /592 228 2993,97223,1,GLDU0845210,4500,56,PCS,21,CF,ZIMUGTG05354, , ,33W,ZZC08496K/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
(15 PIECES MORA 6' X 6' X 16-20FT -1.99CBM) (34 PIECES GREENHEART 6' X 6' X 16-20FT- 4.25CBM) (10 PIECES GREENHEART 6' X12'X11FT - 1.56CBM) (8 PIECES GREENHEART 8'X 12' X 20FT - 3.02CBM) (27 PIECES GREENHEART 12' X 12' X6 -16FT - 10.15CBM)(194 PIECES GREENHEART 3' X 8' X 6-18FT- 9.83CBM) (6 PIECES GREENHEART 8' X 12'X 20FT - 7.70CBM) (20 PIECES GREENHEART 12' X 12' X 10-14FT - 2.26CBM),BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC,2012-08-19 00:00:00,51840,23564,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PANAMA,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,10200 SW GREENBURY ROAD SUITE 500 T IGARD OR 97223 USA TEL:503-872-35 66 FAX:800-570-3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2844 /592 228 2993,97223,2,CRXU9079004 UESU4627532,4500 4500,314,PCS,41,CF,ZIMUGTG05261, , ,43W,ZZC02697K/ ZZC02672K/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
(42 PIECES GREENHEART 3' X 8' X 6 -15FT- 2.34CBM) (20 PIECES GREENHEART 4' X 10'X 20FT - 3.14CBM) (15 PIECES GREENHEART12' X 12' X 6 - 20FT - 4.36CBM) (24 PIECES GREENHEART 8' X 12' X 20FT - 1.51CBM) (2 PIECES GREENHEART 12' X 16' X 20FT - 9.06CBM)GREENHEART (12' X 12' X 8-20FT),BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-08-05 00:00:00,103932,47242,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PUSAN,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,10200 SW GREENBURY ROAD SUITE 500 T IGARD OR 97223 USA TEL:503 872 3566 / 800 570 3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 2 28 2844 / 592 228 2993,97223,2,DFSU6046912 GVDU5055780,4500 4500,151,PCS,41,CF,ZIMUGTG05188, , ,33W,ZZC00184K/ ZZC17955K/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
WALLABA POLES 30- LON,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-07-29 00:00:00,133080,60491,Demerara,"Wilmington, Delaware",ANNE,Guyana,,"4765 SPOTSWOOD TRAIL SUITE G PENN LAIRD, VA 22846 USA TEL: 540-432-1050","BLOCK 3026 HAND-EN-VELT MAHAICA GUYANA, SOUTH AMERICA",22846,1,NC, ,70,PCS,0, ,TVTNANNE04071202, , ,407, ,ANTIGUA AND BARBUDA,00 - Consumption Category,TVTN,TREVERTON LTD,WILLEMSTAD CURACAO, , ,WINDSTRAAT 3C,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
GREENHEART PILES 1599 LINEAR FEET 20--41- LENGH,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-07-29 00:00:00,148005,67275,Demerara,"Wilmington, Delaware",ANNE,Guyana,,"4765 SPOTSWOOD TRAIL SUITE G PENN LAIRD, VA 22846 USA TEL: 540-432-1050","BLOCK 3026 HAND-EN-VELT MAHAICA GUYANA, SOUTH AMERICA",22846,1,NC, ,45,PCS,0, ,TVTNANNE04071203, , ,407, ,ANTIGUA AND BARBUDA,00 - Consumption Category,TVTN,TREVERTON LTD,WILLEMSTAD CURACAO, , ,WINDSTRAAT 3C,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
"ROUND GREENHEART PILES 2,099 LINEAR FEELENGTH: 50--67-",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-07-29 00:00:00,157425,71557,Demerara,"Wilmington, Delaware",ANNE,Guyana,,"4765 SPOTSWOOD TRAIL SUITE G PENN LAIRD, VA 22846 USA TEL: 540-432-1050","BLOCK 3026 HAND-EN-VELT MAHAICA GUYANA, SOUTH AMERICA",22846,1,NC, ,36,PCS,0, ,TVTNANNE04071204, , ,407, ,ANTIGUA AND BARBUDA,00 - Consumption Category,TVTN,TREVERTON LTD,WILLEMSTAD CURACAO, , ,WINDSTRAAT 3C,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
"7,824 BOARD FEET GREENEHEART TIMBER (3'X8' X6--19-)",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-07-29 00:00:00,46944,21338,Demerara,"Wilmington, Delaware",ANNE,Guyana,,"4765 SPOTSWOOD TRAIL SUITE G PENN LAIRD, VA 22846 USA TEL: 540-432-1050","BLOCK 3026 HAND-EN-VELT MAHAICA GUYANA, SOUTH AMERICA",22846,1,NC, ,270,PCS,0, ,TVTNANNE04071205, , ,407, ,ANTIGUA AND BARBUDA,00 - Consumption Category,TVTN,TREVERTON LTD,WILLEMSTAD CURACAO, , ,WINDSTRAAT 3C,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
