YEAR,Port,imports
2010.0,"Charleston, South Carolina",
2011.0,"Charleston, South Carolina",
2012.0,"Charleston, South Carolina",
2013.0,"Charleston, South Carolina",
2014.0,"Charleston, South Carolina",
2015.0,"Charleston, South Carolina","12,041.00"
2016.0,"Charleston, South Carolina",
2017.0,"Charleston, South Carolina",
2018.0,"Charleston, South Carolina",
2019.0,"Charleston, South Carolina",
2020.0,"Charleston, South Carolina",
2021.0,"Charleston, South Carolina",
2022.0,"Charleston, South Carolina",
2023.0,"Charleston, South Carolina",
2024.0,"Charleston, South Carolina","28,940.00"
2006.0,"Chester, Pennsylvania",
2007.0,"Chester, Pennsylvania",
2008.0,"Chester, Pennsylvania",
2009.0,"Chester, Pennsylvania",
2010.0,"Chester, Pennsylvania",
2011.0,"Chester, Pennsylvania",
2012.0,"Chester, Pennsylvania",
2013.0,"Chester, Pennsylvania",
2014.0,"Chester, Pennsylvania",
2015.0,"Chester, Pennsylvania",
2016.0,"Chester, Pennsylvania",
2017.0,"Chester, Pennsylvania",
2018.0,"Chester, Pennsylvania",
2019.0,"Chester, Pennsylvania",
2020.0,"Chester, Pennsylvania",
2021.0,"Chester, Pennsylvania",
2022.0,"Chester, Pennsylvania","46,657.00"
2023.0,"Chester, Pennsylvania",
2024.0,"Chester, Pennsylvania",
2006.0,"Houston, Texas",
2007.0,"Houston, Texas",
2008.0,"Houston, Texas",
2009.0,"Houston, Texas","75,024.00"
2010.0,"Houston, Texas","1,183.00"
2011.0,"Houston, Texas",
2012.0,"Houston, Texas","20,160.00"
2013.0,"Houston, Texas","48,829.00"
2014.0,"Houston, Texas","50,667.00"
2015.0,"Houston, Texas","164,555.00"
2016.0,"Houston, Texas",
2017.0,"Houston, Texas","73,074.00"
2018.0,"Houston, Texas","62,289.00"
2019.0,"Houston, Texas","426,911.00"
2020.0,"Houston, Texas","149,451.00"
2021.0,"Houston, Texas","10,220.00"
2022.0,"Houston, Texas","195,706.00"
2023.0,"Houston, Texas",
2024.0,"Houston, Texas",
2006.0,"Long Beach, California",
2007.0,"Long Beach, California","6,461,248.00"
2008.0,"Long Beach, California","68,094.00"
2009.0,"Long Beach, California","3,029,496.00"
2010.0,"Long Beach, California","2,317,001.00"
2011.0,"Long Beach, California",
2012.0,"Long Beach, California","163,574.00"
2013.0,"Long Beach, California","16,477.00"
2014.0,"Long Beach, California",
2015.0,"Long Beach, California",
2016.0,"Long Beach, California",
2017.0,"Long Beach, California",
2018.0,"Long Beach, California",
2019.0,"Long Beach, California",
2020.0,"Long Beach, California",
2021.0,"Long Beach, California",
2022.0,"Long Beach, California",
2023.0,"Long Beach, California",
2024.0,"Long Beach, California",
2006.0,"Los Angeles, California",
2007.0,"Los Angeles, California",
2008.0,"Los Angeles, California",
2009.0,"Los Angeles, California",
2010.0,"Los Angeles, California",
2011.0,"Los Angeles, California",
2012.0,"Los Angeles, California",
2013.0,"Los Angeles, California",
2014.0,"Los Angeles, California",
2015.0,"Los Angeles, California",
2016.0,"Los Angeles, California",
2017.0,"Los Angeles, California",
2018.0,"Los Angeles, California",
2019.0,"Los Angeles, California",
2020.0,"Los Angeles, California",
2021.0,"Los Angeles, California",
2022.0,"Los Angeles, California",
2023.0,"Los Angeles, California",
2024.0,"Los Angeles, California",
2006.0,"Miami, Florida",
2007.0,"Miami, Florida",
2008.0,"Miami, Florida","35,544.00"
2009.0,"Miami, Florida","84,778.00"
2010.0,"Miami, Florida","76,264.00"
2011.0,"Miami, Florida","95,198.00"
2012.0,"Miami, Florida","147,308.00"
2013.0,"Miami, Florida","139,311.00"
2014.0,"Miami, Florida","37,647.00"
2015.0,"Miami, Florida",
2016.0,"Miami, Florida",
2017.0,"Miami, Florida","526,842.00"
2018.0,"Miami, Florida","23,227.00"
2019.0,"Miami, Florida","70,161.00"
2020.0,"Miami, Florida","49,465.00"
2021.0,"Miami, Florida","35,269.00"
2022.0,"Miami, Florida","146,022.00"
2023.0,"Miami, Florida","51,400.00"
2024.0,"Miami, Florida",
2006.0,"Mobile, Alabama",
2007.0,"Mobile, Alabama","761,282.00"
2008.0,"Mobile, Alabama","136,911.00"
2009.0,"Mobile, Alabama",78.00
2010.0,"Mobile, Alabama",
2011.0,"Mobile, Alabama",
2012.0,"Mobile, Alabama","100,605.00"
2013.0,"Mobile, Alabama",
2014.0,"Mobile, Alabama",
2015.0,"Mobile, Alabama",
2016.0,"Mobile, Alabama","27,060.00"
2017.0,"Mobile, Alabama","19,860.00"
2018.0,"Mobile, Alabama","17,570.00"
2019.0,"Mobile, Alabama",
2020.0,"Mobile, Alabama",
2021.0,"Mobile, Alabama",
2022.0,"Mobile, Alabama",
2023.0,"Mobile, Alabama",
2024.0,"Mobile, Alabama",
2006.0,"New London, Connecticut",
2007.0,"New London, Connecticut",
2008.0,"New London, Connecticut",
2009.0,"New London, Connecticut",
2010.0,"New London, Connecticut",
2011.0,"New London, Connecticut",
2012.0,"New London, Connecticut",
2013.0,"New London, Connecticut",
2014.0,"New London, Connecticut",
2015.0,"New London, Connecticut",
2016.0,"New London, Connecticut","1,177,675.00"
2017.0,"New London, Connecticut","1,423,238.00"
2018.0,"New London, Connecticut",
2019.0,"New London, Connecticut",
2020.0,"New London, Connecticut",
2021.0,"New London, Connecticut",
2022.0,"New London, Connecticut",
2023.0,"New London, Connecticut",
2024.0,"New London, Connecticut",
2006.0,"New Orleans, Louisiana",
2007.0,"New Orleans, Louisiana",
2008.0,"New Orleans, Louisiana",
2009.0,"New Orleans, Louisiana",
2010.0,"New Orleans, Louisiana",
2011.0,"New Orleans, Louisiana",
2012.0,"New Orleans, Louisiana",
2013.0,"New Orleans, Louisiana",
2014.0,"New Orleans, Louisiana","7,136.00"
2015.0,"New Orleans, Louisiana",
2016.0,"New Orleans, Louisiana",
2017.0,"New Orleans, Louisiana","87,540.00"
2018.0,"New Orleans, Louisiana",
2019.0,"New Orleans, Louisiana","150,213.00"
2020.0,"New Orleans, Louisiana","58,030.00"
2021.0,"New Orleans, Louisiana","3,880.00"
2022.0,"New Orleans, Louisiana",
2023.0,"New Orleans, Louisiana",
2024.0,"New Orleans, Louisiana",
2006.0,"Philadelphia, Pennsylvania",
2007.0,"Philadelphia, Pennsylvania","1,470,000.00"
2008.0,"Philadelphia, Pennsylvania","4,690,622.00"
2009.0,"Philadelphia, Pennsylvania","1,387,922.00"
2010.0,"Philadelphia, Pennsylvania","2,578,860.00"
2011.0,"Philadelphia, Pennsylvania","272,746.00"
2012.0,"Philadelphia, Pennsylvania","891,784.00"
2013.0,"Philadelphia, Pennsylvania",
2014.0,"Philadelphia, Pennsylvania",
2015.0,"Philadelphia, Pennsylvania",
2016.0,"Philadelphia, Pennsylvania","319,370.00"
2017.0,"Philadelphia, Pennsylvania","432,730.00"
2018.0,"Philadelphia, Pennsylvania","474,508.00"
2019.0,"Philadelphia, Pennsylvania","493,530.00"
2020.0,"Philadelphia, Pennsylvania","349,098.00"
2021.0,"Philadelphia, Pennsylvania","268,643.00"
2022.0,"Philadelphia, Pennsylvania","1,105,791.00"
2023.0,"Philadelphia, Pennsylvania","1,049,434.00"
2024.0,"Philadelphia, Pennsylvania","1,134,888.00"
2006.0,"Port Everglades, Florida",
2007.0,"Port Everglades, Florida","2,216.00"
2008.0,"Port Everglades, Florida",
2009.0,"Port Everglades, Florida","9,434.00"
2010.0,"Port Everglades, Florida",
2011.0,"Port Everglades, Florida",
2012.0,"Port Everglades, Florida","128,774.00"
2013.0,"Port Everglades, Florida","264,638.00"
2014.0,"Port Everglades, Florida","238,419.00"
2015.0,"Port Everglades, Florida","194,081.00"
2016.0,"Port Everglades, Florida","532,836.00"
2017.0,"Port Everglades, Florida","519,828.00"
2018.0,"Port Everglades, Florida","363,018.00"
2019.0,"Port Everglades, Florida","606,213.00"
2020.0,"Port Everglades, Florida","343,455.00"
2021.0,"Port Everglades, Florida","56,901.00"
2022.0,"Port Everglades, Florida","179,149.00"
2023.0,"Port Everglades, Florida","252,656.00"
2024.0,"Port Everglades, Florida","136,636.00"
2006.0,"Providence, Rhode Island",
2007.0,"Providence, Rhode Island",
2008.0,"Providence, Rhode Island",
2009.0,"Providence, Rhode Island",
2010.0,"Providence, Rhode Island",
2011.0,"Providence, Rhode Island",
2012.0,"Providence, Rhode Island",
2013.0,"Providence, Rhode Island","1,192,000.00"
2014.0,"Providence, Rhode Island","1,668,321.00"
2015.0,"Providence, Rhode Island",
2016.0,"Providence, Rhode Island",
2017.0,"Providence, Rhode Island",
2018.0,"Providence, Rhode Island",
2019.0,"Providence, Rhode Island",
2020.0,"Providence, Rhode Island",
2021.0,"Providence, Rhode Island",
2022.0,"Providence, Rhode Island",
2023.0,"Providence, Rhode Island",
2024.0,"Providence, Rhode Island",
2006.0,"San Juan, Puerto Rico",
2007.0,"San Juan, Puerto Rico",
2008.0,"San Juan, Puerto Rico",
2009.0,"San Juan, Puerto Rico","179,100.00"
2010.0,"San Juan, Puerto Rico",
2011.0,"San Juan, Puerto Rico","491,430.00"
2012.0,"San Juan, Puerto Rico",
2013.0,"San Juan, Puerto Rico",
2014.0,"San Juan, Puerto Rico",
2015.0,"San Juan, Puerto Rico",
2016.0,"San Juan, Puerto Rico",
2017.0,"San Juan, Puerto Rico","19,460.00"
2018.0,"San Juan, Puerto Rico","25,100.00"
2019.0,"San Juan, Puerto Rico","356,044.00"
2020.0,"San Juan, Puerto Rico","17,820.00"
2021.0,"San Juan, Puerto Rico","90,770.00"
2022.0,"San Juan, Puerto Rico","25,220.00"
2023.0,"San Juan, Puerto Rico","24,220.00"
2024.0,"San Juan, Puerto Rico","47,870.00"
2006.0,"Savannah, Georgia",
2007.0,"Savannah, Georgia","449,216.00"
2008.0,"Savannah, Georgia","632,505.00"
2009.0,"Savannah, Georgia","870,733.00"
2010.0,"Savannah, Georgia","405,570.00"
2011.0,"Savannah, Georgia","236,526.00"
2012.0,"Savannah, Georgia",
2013.0,"Savannah, Georgia",
2014.0,"Savannah, Georgia",
2015.0,"Savannah, Georgia","72,752.00"
2016.0,"Savannah, Georgia","105,760.00"
2017.0,"Savannah, Georgia",
2018.0,"Savannah, Georgia","133,230.00"
2019.0,"Savannah, Georgia","311,340.00"
2020.0,"Savannah, Georgia","226,884.00"
2021.0,"Savannah, Georgia","38,490.00"
2022.0,"Savannah, Georgia",
2023.0,"Savannah, Georgia",
2024.0,"Savannah, Georgia",
2006.0,"Seattle, Washington",
2007.0,"Seattle, Washington",
2008.0,"Seattle, Washington",
2009.0,"Seattle, Washington",
2010.0,"Seattle, Washington",
2011.0,"Seattle, Washington",
2012.0,"Seattle, Washington",
2013.0,"Seattle, Washington",
2014.0,"Seattle, Washington",
2015.0,"Seattle, Washington",
2016.0,"Seattle, Washington",
2017.0,"Seattle, Washington",
2018.0,"Seattle, Washington","36,960.00"
2019.0,"Seattle, Washington",
2020.0,"Seattle, Washington","18,860.00"
2021.0,"Seattle, Washington",
2022.0,"Seattle, Washington",
2023.0,"Seattle, Washington",
2024.0,"Seattle, Washington",
2006.0,"Wilmington, Delaware",
2007.0,"Wilmington, Delaware",
2008.0,"Wilmington, Delaware",
2009.0,"Wilmington, Delaware",
2010.0,"Wilmington, Delaware",
2011.0,"Wilmington, Delaware","886,129.00"
2012.0,"Wilmington, Delaware","2,206,032.00"
2013.0,"Wilmington, Delaware",
2014.0,"Wilmington, Delaware",
2015.0,"Wilmington, Delaware",
2016.0,"Wilmington, Delaware",
2017.0,"Wilmington, Delaware",
2018.0,"Wilmington, Delaware",
2019.0,"Wilmington, Delaware",
2020.0,"Wilmington, Delaware",
2021.0,"Wilmington, Delaware",
2022.0,"Wilmington, Delaware",
2023.0,"Wilmington, Delaware",
2024.0,"Wilmington, Delaware",
2006.0,"Wilmington, North Carolina",
2007.0,"Wilmington, North Carolina",
2008.0,"Wilmington, North Carolina",
2009.0,"Wilmington, North Carolina",
2010.0,"Wilmington, North Carolina",
2011.0,"Wilmington, North Carolina",
2012.0,"Wilmington, North Carolina",
2013.0,"Wilmington, North Carolina",
2014.0,"Wilmington, North Carolina",
2015.0,"Wilmington, North Carolina",
2016.0,"Wilmington, North Carolina",
2017.0,"Wilmington, North Carolina",
2018.0,"Wilmington, North Carolina",
2019.0,"Wilmington, North Carolina",
2020.0,"Wilmington, North Carolina",
2021.0,"Wilmington, North Carolina","30,915.00"
2022.0,"Wilmington, North Carolina",
2023.0,"Wilmington, North Carolina",
2024.0,"Wilmington, North Carolina",
