PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,YEAR,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,SHIPPER_COUNTRY,ekki,greenheart,darina,tatabu,shibadan,tauroniro,garlicwood,locust,bulletwood,kabukalli,wamara,cow wood,mora,bukea,burada,eucalyptus cloeziana,tali,piles
HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,01/12/2025,2025,39820,18100,Rotterdam,"New York/Newark Area, Newark, New Jersey",EVER LIVING,Netherlands,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,TLLU3335196, ,8,BDL,0, ,RSECUSNYC4120266,H,COSU6396832030,068W,TSK5960376,SINGAPORE, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,01/03/2025,2025,40700,18500,Rotterdam,"New York, New York",CMA CGM FORT JAMES,Netherlands,NO MARKS,OF DELAWARE 218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,FCIU5240088, ,8,BDL,0, ,RSECUSNY4120163A,H,COSU6403360878,0BLIF,HO168059,FRANCE, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK ROAD,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,01/03/2025,2025,40700,18500,Rotterdam,"New York, New York",CMA CGM FORT JAMES,Netherlands,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,OOCU0412267, ,8,BDL,0, ,RSECUSNY4120163B,H,COSU6403360879,0LBIF,HO168060,FRANCE, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,01/03/2025,2025,40700,18500,Rotterdam,"New York, New York",CMA CGM FORT JAMES,Netherlands,NO MARKS,OF DELAWARE 218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,CSNU1935852, ,8,BDL,0, ,RSECUSNY4120163C,H,COSU6403360870,OLBIF,BD041724,FRANCE, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK ROAD,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI/AZOBE HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,12/26/2024,2024,40700,18500,Rotterdam,"New York/Newark Area, Newark, New Jersey",COSCO HOPE,Netherlands,NO MARKS,OF DELAWARE 218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,CSNU1644029,22G1,9,BDL,0, ,RSECUSNY4120075C,H,COSU6403194249,065W,TSK5960373,HONG KONG, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK ROAD,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HRDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,12/26/2024,2024,40700,18500,Rotterdam,"New York/Newark Area, Newark, New Jersey",COSCO HOPE,Netherlands,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,TLLU8395285,22G1,8,BDL,0, ,RSECUSNY4120075A,H,COSU6403194248,06W,TSK5960371,HONG KONG, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI / AZOBE HARDWOOD SAWN TIMBER,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,12/10/2024,2024,43340,19700,Rotterdam,"New York, New York",ELLBBRIDGE,Netherlands,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,UNSU0063880, ,11,BDL,0, ,RSECUSNYC4110250,H,ECLK2700006514,1,TSK5960372,PORTUGAL, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUGH SAWN GREENHEART LUMBER - 7040BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO WEIGH SAID TO BE,WILLIAM G MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,10/19/2024,2024,54167,24621,Port Bustamante,"New York/Newark Area, Newark, New Jersey",H CYGNUS,Jamaica,WGM 9540 P.O.G/ WAXED ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA TEL:732-303-6049 FAX:732-303-6075","99 LALUNI STREET, QUEENSTOWN GEORGETOWN GUYANA 592-226-8556",7728,1,TEMU7836894,4500,104,PCS,586,CF,ZIMUGTG0019667, , ,36S,CETO164353 A4231550576,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,WILLIAM G MOORE & SON INC,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA TEL:732-303-6049 FAX:732-303-6075",GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
944 LN.FT.GREENHEART PILES (CHOLOCARDIUM RODIEI) FREE OF BARK APPARENTLY FREE FROM LIVE PLANT PEST FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO WEIGH SAID TO BE,WILLIAM G. MOORE & SON INC. OF,WILLIAM G. MOORE & SON INC,-NOT AVAILABLE-,10/19/2024,2024,70459,32027,Port Bustamante,"New York/Newark Area, Newark, New Jersey",H CYGNUS,Jamaica,NO MARKS NO NUMBERS,"DELAWARE 218 SCHANCK ROAD, FREEHOLD, NEW JERSEY 07728, USA TEL #: 732 303 6049",-NOT AVAILABLE-, ,1,ZCSU6560743,4500,28,PCS,764,CF,ZIMUGTG0019677, , ,36S,CETO172688 A4231550503,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,-NOT AVAILABLE-,-NOT AVAILABLE-,GEORGETOWN - GUYA,Not Available,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EKKI / AZOBE HARDWOOD MATERIAL,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,08/08/2024,2024,31020,14100,Antwerp,"New York/Newark Area, Newark, New Jersey",ATLANTIC SKY,Belgium,NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,GCNU1309445, ,10,BDL,0, ,RSECUSNYC4070421,H,ACLUSA01069357,ATK33,TSK5960440,MALTA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ANTWERP (ANTWERPE,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI / AZOBE HARDWOOD MATERIAL,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,07/17/2024,2024,41250,18750,Antwerp,"New York/Newark Area, Newark, New Jersey",ATLANTIC SUN,Belgium,NO MARKS,OF DELAWARE 218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,1,GCNU1427725, ,13,BDL,0, ,RSECUSNYC4070091,H,ACLUSA01061771,ASU35,TSK5960435,MALTA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK ROAD,ANTWERP (ANTWERPE,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI / AZOBE HARDWOOD MATERIAL EKKI / AZOBE HARDWOOD MATERIAL,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,07/08/2024,2024,76692,34860,Rotterdam,"New York, New York",SEATRADE BLUE,Netherlands,NO MARKS NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,2,CMAU4867632 CMAU5805764,4500 4500,9,BDL,0, ,RSECUSNYC4060406,H,CMDURTM9231113,0RPGL,TSK5960434 TSK5960433,LIBERIA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI / AZOBE HARDWOOD MATERIAL EKKI / AZOBE HARDWOOD MATERIAL EKKI / AZOBE HARDWOOD MATERIAL,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,06/07/2024,2024,115698,52590,Rotterdam,"New York/Newark Area, Newark, New Jersey",CMA CGM FIDELIO,Netherlands,NO MARKS NO MARKS NO MARKS,OF DELAWARE 218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,3,EGHU3732158 EGSU3226976 EGSU3335220, ,35,BDL,0, ,RSECUSNYC4050267,H,EGLV520400083092,0LBGT,HB381778 HB381775 HB381777,MALTA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK ROAD,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI / AZOBE HARDWOOD MATERIAL FSC 100 EKKI . EKKI / AZOBE HARDWOOD MATERIAL FSC 100 EKKI .,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,03/06/2024,2024,86130,39150,Rotterdam,"New York/Newark Area, Newark, New Jersey",TUCAPEL,Netherlands,/ AZOBE NO MARKS / AZOBE NO MARKS,OF DELAWARE 218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,2,GLDU5429998 HLXU1056310, ,21,BDL,0, ,RSECUSNYC4020207,H,HLCURTM240230031,020W,TSK5960469 TSK5960470,LIBERIA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK ROAD,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HARDWOOD PALLETS HARDWOOD MATERIAL HARDWOOD PALLETS HARDWOOD MATERIAL,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,02/28/2024,2024,86900,39500,Rotterdam,"New York/Newark Area, Newark, New Jersey",TIRUA,Netherlands,NO MARKS NO MARKS,218 SCHANCK ROAD OF DELAWARE FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,2,GESU3976686 RFCU2259608, ,20,BDL,0, ,RSECUSNYC4020206,H,HLCURTM240216766,061W,TSK5960408 TSK5960410 TSK5960408 TSKK596041,LIBERIA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,218 SCHANCK ROAD OF DELAWARE,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HARDWOOD PALLETS EKKI / AZOBE HARDWOOD MATERI. HARDWOOD PALLETS EKKI / AZOBE HARDWOOD MATERI.,WILLIAM G. MOORE AND SON INC.,WILLIAM G. MOORE & SON INC,HUPKES WIJMA B.V.,02/23/2024,2024,81290,36950,Rotterdam,"New York/Newark Area, Newark, New Jersey",EVER LIVING,Netherlands,AL NO MARKS AL NO MARKS,OF DELAWARE 218 SCHANCK RD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7728,2,EISU2276087 TCLU3804470, ,26,BDL,0, ,RSECUSNYC4020080,H,EGLV520400022009,061W,HB383676 HB383674,SINGAPORE, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE AND SON INC.,OF DELAWARE 218 SCHANCK RD,ROTTERDAM NETHERL,Hupkes Wijma B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
