PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
GREENHEART DOCK PILES,"EVERGREEN FOREST PRODUCTS, INC",EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,04/19/2025,83600,38000,Demerara,"Houston, Texas",INDUSTRIAL AMA,Guyana,NM,578 SOUND AVENUE WADING RIVER NY 11792 US,"53 KERSAINT PARK?LBI, EAST COAST DE GEORGETOWN 107 GY",11792,1,NC, ,25,PCS,0,CM,ICLGB252211001, , ,3306, ,ANTIGUA AND BARBUDA, ,ICLG,INTERCONTINENTAL LOGISTICS INC,GARDEN GROVE,CA,90551,10551 BOLSA AVE,"EVERGREEN FOREST PRODUCTS, INC",578 SOUND AVENUE,"GEORGETOWN, GUYAN"
GREENHEART LUMBER GREENHEART PILES FREIGHT COLLECT GREENHEART PILES GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,03/22/2025,218750,99432,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,4,TCNU7290490 CMAU4323310 SEGU4057209 TCLU6552900,4500 4500 4500 4500,304,PCS,0,CM,CMDUCUY0113815, , ,0UAJT,C7950457 C7950456 C7950459 C7950458,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8064BM/19.02CB,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,03/22/2025,63712,28960,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55649/55660 /POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE UNITED STATES",99 LALUNI STREET QUEENSTOWN GEORGETOWN TE GUYANA,11792,1,TCLU8550850,4500,206,PCS,0,CM,CMDUCUY0113832, , ,0UAJT,C7698713 CETO193957,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
GREENHEART LUMBER FREIGHT COLLECT GREENHEART LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,03/22/2025,111830,50832,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,2,TLLU4654114 TCNU6396424,4500 4500,384,PCS,0,CM,CMDUCUY0113884, , ,0UAJT,C7950472 C7950471,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8032BM/18.94CB,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,03/22/2025,62524,28420,Port Bustamante,"New York, New York",CMA CGM HOMERE,Jamaica,EFPI PO 55649/55660/POG/ WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE USA",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,11792,1,TCNU5859890,4500,246,PCS,0,CM,CMDUCUY0113972, , ,0UAJV,C7950496 CETO194319,INDONESIA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
FREIGHT COLLECT KILN DRIED WASHIBA(IPE) AND PURPLEHEART DECKILUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,CUMMINGS WOOD PRODUCTS,03/16/2025,63492,28860,Port Bustamante,"New York, New York",ALEJANDRINA,Jamaica,NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 1 2 CALEDONIA EBD GEORGETOWN GUYANA, ,1,CMAU5747040,4500,1819,PCS,0,CM,CMDUCUY0113736, , ,0UAJR,C7949563 C7949564,PANAMA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT GREENHEART PILES GREENHEART DARINA LUMBER DARINA RED CEDAR LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,03/16/2025,167754,76252,Port Bustamante,"New York, New York",ALEJANDRINA,Jamaica,NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,3,TLLU7583673 CMAU4197485 TCNU4692520,4500 4500 4500,308,PCS,0,CM,CMDUCUY0113740, , ,0UAJR,EM5110768 EM5110769 EM5110770,PANAMA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT GREENHEART PILES GREENHEART LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,02/07/2025,114180,51900,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,2,TCNU6105806 TCLU8257396,4500 4500,424,PCS,0,CM,CMDUCUY0113640, , ,0UAJH,C7949726 C7949599,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8052BM/18.99CB,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,01/20/2025,63162,28710,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55634/ 55637/55644/POG/ WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE UNITED STATES",99 LALUNI STREET QUEENSTOWN GEORGETOWN TE GUYANA,11792,1,TCNU7222160,4500,284,PCS,0,CM,CMDUCUY0113602, , ,0UAJB,C7698735 CETO187275,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
FREIGHT COLLECT GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,01/20/2025,44462,20210,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,1,CAIU3068979,2200,98,PCS,0,CM,CMDUCUY0113440, , ,0UAJB,C7698670,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8029 BM/18.94C,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,01/20/2025,60896,27680,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55634/55637/ 55640/55644/POG/ WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE UNITED STATES",99 LALUNI STREET QUEENSTOWN GEORGETOWN TE GUYANA,11792,1,BMOU6097883,4500,134,PCS,0,CM,CMDUCUY0113488, , ,0UAJB,C7698732 CETO186931,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
GREENHEART PILES GREENHEART PILES GREENHEART PILES GREENHEART PILES DARINA AND RED CEDAR LUMBER GREENHEART PILES GREENHEART PILES FREIGHT COLLECT GREENHEART PILES GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,01/20/2025,486922,221328,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,9,BEAU4679073 CAIU3530562 CAIU9561600 CMAU5603167 CMAU4883130 APHU7310703 CMAU5857114 TLLU5100360 APHU7231306,4500 2200 4500 4500 4500 4500 4500 4500 4500,680,PCS,1,CM,CMDUCUY0113598, , ,0UAJB,EM5110767 EM5110766 C7698760 EM5110762 EM5110765 C7698759 EM5110764 EM5110761 EM5110763,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
GREENHEART PILES FREIGHT COLLECT GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,01/20/2025,109362,49710,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,2,CMAU4928933 CMAU4165256,4500 4500,100,PCS,0,CM,CMDUCUY0113441, , ,0UAJB,C7698662 C7698669,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8063 BM/19.01C,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,01/20/2025,62942,28610,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55634/55637/ 55644/POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE UNITED STATES",99 LALUNI STREET QUEENSTOWN GEORGETOWN TE GUYANA,11792,1,TIIU4218000,4500,136,PCS,0,CM,CMDUCUY0113567, , ,0UAJB,C7698712 CETO187078,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
FREIGHT COLLECT GREENHEART PILES GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,SOUTHERN TIMBER EXPORTS,01/20/2025,120054,54570,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,LOT 53 KERSAINT PARK LA BONNE INTENTION EAST COAST TE DEMERARA, ,2,ECMU8111970 ECMU8120062,9500 9500,36,PCS,0,CM,CMDUCUY0113384, , ,0UAJB,C7696319 C7698715,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8061BM/19.01CB,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,01/20/2025,61842,28110,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,EFPI PO 55634/55637/ 55644/POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE UNITED STATES",99 LALUNI STREET QUEENSTOWN GEORGETOWN TE GUYANA,11792,1,DRYU9213484,4500,98,PCS,0,CM,CMDUCUY0113542, , ,0UAJB,C7698734 CETO187098,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
GREENHEART PILES GREENHEART PILES GREENHEART PILES GREENHEART PILES FREIGHT COLLECT GREENHEART PILES GREENHEART PILES GREENHEART PILES GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,DEORAJ SINGH SAWMILL,01/20/2025,444112,201869,Port Bustamante,"New York, New York",MARFRET GUYANE,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE WADING RIVER UNITED STATES,"172 YARROWKABRA, LINDEN SOESDYKE HIGHWAY GEORGETOWN TE GUYANA", ,8,CMAU4760958 CMAU6263890 CMAU5088468 CAIU9452030 TCNU5200882 TCLU5126140 CMAU4208105 BEAU4112259,4500 4500 4500 4500 4500 4500 4500 4500,215,PCS,1,CM,CMDUCUY0113346, , ,0UAJB,C7696359 C7696360 C7696355 C7696357 C7696356 C7696354 C7696358 C7696515,FRANCE, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVENUE WADING RIVER UNITED STATES,"GEORGETOWN, GY"
IPE (WASHIBA) KILN DRIED WAHSI BA,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,CUMMINGS WOOD PRODUCTS,01/02/2025,55115,25052,Puerto Manzanillo,"New York/Newark Area, Newark, New Jersey",BSG BAHAMAS,Panama,N/M,"149, SOUND RD WADING RIVER 11792-1032 16317867043",LOTS 1&2 CALEDONIA GEORGETOWN GUYANA 5926230197,11792-1032,1,SUDU8547462,4EB0,2565,PCS,29,CM,MAEU246667825, , ,451N,176391 PA0467973,LIBERIA, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",EVERGREEN FOREST PRODUCTS INC,"149, SOUND RD WADING RIVER 11792-1032",GEORGETOWN
FREIGHT COLLECT ROUGH SAWN GREENHEART LUMBER - 8022 BM / 18.9,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS GREENHEART LTD,12/27/2024,60962,27710,Port Bustamante,"New York, New York",CMA CGM HOMERE,Jamaica,EFPI 55637/55634/55 640/55644/POG/WAXED ENDS,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792 TE UNITED STATES",99 LALUNI STREET QUEENSTOWN GEORGETOWN TE GUYANA,11792,1,CMAU4683194,4500,52,PCS,0,CM,CMDUCUY0113284, , ,0UAJ3,C7696501 CETO176277,INDONESIA, ,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,EVERGREEN FOREST PRODUCTS INC,"PO BOX 922 578 SOUND AVENUE WADING RIVER, NY 11792","GEORGETOWN, GY"
